instance_id,num_vehicles,vehicle_capacity,depot_x,depot_y,shift_start,shift_end,speed,order_id,x,y,demand,ready_time,due_time,service_time
public_01,2,275,14.0000,14.0000,480,1020,0.6000,1,16.2480,6.9920,12,664,1002,12
public_01,2,275,14.0000,14.0000,480,1020,0.6000,2,15.7620,10.1330,4,480,893,5
public_01,2,275,14.0000,14.0000,480,1020,0.6000,3,17.0880,13.3320,10,793,1010,8
public_01,2,275,14.0000,14.0000,480,1020,0.6000,4,21.7440,19.4820,8,480,894,10
public_01,2,275,14.0000,14.0000,480,1020,0.6000,5,14.3040,11.5750,5,669,950,14
public_01,2,275,14.0000,14.0000,480,1020,0.6000,6,2.3130,10.8550,8,483,898,7
public_01,2,275,14.0000,14.0000,480,1020,0.6000,7,16.1690,12.6920,9,572,906,13
public_01,2,275,14.0000,14.0000,480,1020,0.6000,8,15.1860,20.2230,11,480,897,15
public_01,2,275,14.0000,14.0000,480,1020,0.6000,9,22.0030,2.1620,10,587,905,12
public_01,2,275,14.0000,14.0000,480,1020,0.6000,10,10.4260,24.8180,12,480,852,15
public_01,2,275,14.0000,14.0000,480,1020,0.6000,11,18.8040,22.9750,2,480,897,5
public_01,2,275,14.0000,14.0000,480,1020,0.6000,12,19.6810,23.0420,14,480,803,5
public_01,2,275,14.0000,14.0000,480,1020,0.6000,13,15.0040,11.8150,11,480,895,13
public_01,2,275,14.0000,14.0000,480,1020,0.6000,14,15.6370,13.3330,10,480,744,6
public_01,2,275,14.0000,14.0000,480,1020,0.6000,15,26.6240,5.2040,8,710,1010,9
public_01,2,275,14.0000,14.0000,480,1020,0.6000,16,19.8250,18.9660,15,577,933,15
public_01,2,275,14.0000,14.0000,480,1020,0.6000,17,22.4080,26.9620,6,746,1010,14
public_01,2,275,14.0000,14.0000,480,1020,0.6000,18,20.6460,20.4020,10,480,751,6
public_01,2,275,14.0000,14.0000,480,1020,0.6000,19,5.1020,8.6980,11,509,749,9
public_01,2,275,14.0000,14.0000,480,1020,0.6000,20,16.4120,15.1380,11,721,1010,13
public_01,2,275,14.0000,14.0000,480,1020,0.6000,21,16.1050,11.5640,11,703,989,6
public_01,2,275,14.0000,14.0000,480,1020,0.6000,22,22.3520,19.7740,14,480,814,13
public_01,2,275,14.0000,14.0000,480,1020,0.6000,23,2.8580,9.7310,8,697,953,13
public_01,2,275,14.0000,14.0000,480,1020,0.6000,24,3.3780,10.2070,10,485,854,14
